teamID,name,sail,tag,owner,color,model,posixStartTime
817,18 Degrees,51293,Section 05/C-M Trophy,Jerry Senser,5F9EA0,Swan 44 MKII,1373736000
294,Abbie Normal,32151,Section 08/Mackinac Cup,Cork Boersma,FF8C00,S2 10.3,1373731800
1136,Absolut,50369,Section 07/Mackinac Cup,Ian Jansing,D2691E,Beneteau 38S5,1373733000
597,Absolute,16826,Section 06/Mackinac Cup,Donald Hinckfoot,CD5C5C,Peterson 37,1373734200
885,Aegir,64,Section 07/Mackinac Cup,Mark Rasmussen,8A2BE2,C&C 99,1373733000
1248,Alpha Puppy,1300,Level35/Mackinac Cup,Richard Stage,DDA0DD,J35,1373735400
173,Banshee,606,J105/Mackinac Cup,Kevin Farrell,FFFACD,J105,1373733600
78,Bee,23669,T10/Mackinac Cup,Holland Capper,FF69B4,Tartan 10,1373732400
274,Broderi,42917,Beneteau 40.7/C-M Trophy,Robert Kolar,7FFFD4,Beneteau 40.7,1373736600
1106,Callisto,368,J109/C-M Trophy,James Murray,FF6347,J109,1373736600
104,Certainly,336,J109/C-M Trophy,Donald Meyer,DC143C,J109,1373736600
59,Challenge,3175,Section 06/Mackinac Cup,Ray Teborek,FFA500,S&S 50,1373734200
460,Chamade,45,Section 08/Mackinac Cup,Richard Dickson,FFEFD5,Morgan 45,1373731800
1380,Chaya Doin,3607,Cruising 2/All Cruising,Marc Rubenstein,A0522D,Jeanneau 36i,1373659200
311,Cheep N Deep,16770,Section 07/Mackinac Cup,Randall B Kuhn,BA55D3,C&C 39,1373733000
68,Denali,97363,Turbo/C-M Trophy,Rick Hennig,98FB98,Nelson Marek 68,1373740800
510,Erica,30475,T10/Mackinac Cup,Brian Kaczor,9ACD32,Tartan 10,1373732400
331,Escape,43697,Section 08/Mackinac Cup,Thomas Mikos,6495ED,C&C 332,1373731800
829,Fantome,6949,Section 08/Mackinac Cup,Deirdre Martin Giese,DDA0DD,Morgan 36T,1373731800
1332,Fleetwing,37,J111/C-M Trophy,Henry Brauer,7CFC00,J111,1373737800
500,FOG,26219,Beneteau 36.7/Mackinac Cup,Charlie  Wurtzebach,ADFF2F,Beneteau 36.7,1373734800
742,Free Radical,52051,Beneteau 36.7/Mackinac Cup,Robert Nelson,8FBC8F,Beneteau 36.7,1373734800
1162,Gonzo,377,J105/Mackinac Cup,Kenneth Ganch,D8BFD8,J105,1373733600
266,Heartbreaker,35004,Section 04/C-M Trophy,Eric Oesterle,FFEFD5,One Design 35,1373737200
257,Here's Johnny!,505,J105/Mackinac Cup,John Moore,B0C4DE,J105,1373733600
1090,HighLander,25138,Section 07/Mackinac Cup,Jim Sorbie,5F9EA0,Beneteau First 38,1373733000
1351,Hobgoblin,75111,J111/C-M Trophy,Richard Hobbs,D2B48C,J111,1373737800
591,Hornet,52614,Section 08/Mackinac Cup,Walter Heinichen,A9A9A9,Morgan 43,1373731800
1284,Il mostro,1948,Turbo/C-M Trophy,Peter Thornton,008B8B,Volvo 70,1373740800
1270,Infinite Diversion,54,Cruising 1/All Cruising,Joseph Haas,F0E68C,Hanse 630e,1373659800
17,Intangible,52239,Cruising 2/All Cruising,Tom Falck,B0E0E6,Tartan 3700,1373659200
1340,Jasmin,60455,Cruising 2/All Cruising,David Ormesher,FAFAD2,Dufour 405,1373659200
606,Jug Band,52723,Cruising 1/All Cruising,Harry Simmon,7FFFD4,Jeanneau 45.2,1373659800
